time (US/Pacific)	error	lowrange	highrange	E_BaseMet_Air Temperature (°C)	E_BaseMet_Relative Humidity (%RH)	E_BaseMet_Barometric_Pressure (Hpa)	E_BaseMet_Wind_Speed (m/s)	E_BaseMet_Wind_Direction (Degrees)	E_BaseMet_Rain (mm)	E_Irradiance_Global_Horizontal_1 (W/m²)	E_Irradiance_Plane-of-Array_1 (W/m²)	E_Irradiance_Other_1 (W/m²)	E_BOM_Temp_1 (°C)	E_BOM_Temp_2 (°C)	E_BOM_Temp_3 (°C)	Modbus Id R/W	Irradiance_Global_Sensitivity R/W (µV/(W/m²))	Irradiance_Plane_of_Array_Sensitivity R/W (µV/(W/m²))	Irradiance_Other_Sensitivity R/W (µV/(W/m²))	Baud Rate R/W	Wind Sensor (0 	Rainfall Accumulation
2023-05-16 08:00:00	0	0	0	21.3	36	988	0	295	0	3906	3906	3906	17.4	-40	-40	60	5	5	5	9600	1	0
2023-05-16 08:06:06	161																					
2023-05-16 08:06:39	160																					
2023-05-16 08:15:00	0	0	0	21.3	35	988	0	222	0	3906	3906	3906	17.4	-40	-40	60	5	5	5	9600	1	0
2023-05-16 08:30:00	0	0	0	21.4	35	987	0	222	0	3906	3906	3906	17.4	-40	-40	60	5	5	5	9600	1	0
2023-05-16 08:45:00	0	0	0	21.4	35	987	0	315	0	3906	3906	3906	17.4	-40	-40	60	5	5	5	9600	1	0
2023-05-16 09:00:00	0	0	0	21.3	35	987	0	359	0	3906	3906	3906	17.4	-40	-40	60	5	5	5	9600	1	0
2023-05-16 09:15:00	0	0	0	21.3	35	987	0	268	0	3906	3906	3906	17.5	-40	-40	60	5	5	5	9600	1	0
2023-05-16 09:30:00	0	0	0	21.3	35	986	0	315	0	3906	3906	3906	17.5	-40	-40	60	5	5	5	9600	1	0
2023-05-16 09:45:00	0	0	0	21.4	36	986	0	359	0	3906	3906	3906	17.6	-40	-40	60	5	5	5	9600	1	0
2023-05-16 10:00:00	0	0	0	21.5	35	986	0	46	0	3906	3906	3906	17.7	-40	-40	60	5	5	5	9600	1	0
2023-05-16 10:15:00	0	0	0	21.6	35	985	0	315	0	3906	3906	3906	17.7	-40	-40	60	5	5	5	9600	1	0
2023-05-16 10:30:00	0	0	0	21.6	35	985	0	46	0	3906	3906	3906	17.8	-40	-40	60	5	5	5	9600	1	0
2023-05-16 10:45:00	0	0	0	21.6	35	985	0	359	0	3906	3906	3906	17.8	-40	-40	60	5	5	5	9600	1	0
